index,Last (Price),Change,Bid / Ask,Volume,Volume (4w avg),Turnover,Open,Day Range,VWAP,Prev Close,Last Trade,1 Week,1 Month,2023 YTD,1 Year,vs Sector (1yr),vs ASX 200 (1yr),Market Cap,ASX Rank,Sector Rank,Shares Issued,Sector,Similar Companies,EPS,DPS,Book Value Per Share,Breakdown,Recommendation,Last Updated,Ticker
Value,$0.17,"0.00
(0.00)","$0.16
-
$0.175","293,687","334,390","$49,927",$0.17,$0.17 - $0.17,$0.17,$0.17,6:58pm 03/11 (AEDT),+3.03%,-5.56%,-43.33%,-41.38%,-57.99%,-43.13%,"$86,793,763","968 of 2,408",79 of 239,"510,551,547",Technology,EIQ / IHR / DTS,-$0.014,$0.00,$0.00,,,,DTZ
Value,$0.50,"0.00
(0.00)","$0.50
-
$0.55","3,572","17,599","$1,786",$0.50,$0.50 - $0.50,$0.50,$0.50,6:58pm 03/11 (AEDT),-8.26%,-13.04%,-39.76%,-37.50%,-54.12%,-39.25%,"$80,012,169","995 of 2,408",82 of 239,"160,024,338",Technology,FCT / NNT / IHR,-$0.05,$0.00,$0.13,"4 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,IKE
Value,$0.55,"0.02
(3.77%)","$0.53
-
$0.56","10,112","67,243","$5,521",$0.53,$0.53 - $0.55,$0.546,$0.53,6:58pm 03/11 (AEDT),+1.85%,-28.10%,+59.42%,+25.00%,+8.39%,+23.25%,"$73,798,794","1,026 of 2,408",86 of 239,"134,179,626",Technology,CCR / DUB / EVS,-$0.034,$0.00,$0.063,,,,SMN
Value,$3.87,"0.02
(0.52%)","$3.86
-
$3.87","18,047,148","20,520,799","$69,878,775",$3.88,$3.855 - $3.89,$3.87,$3.85,6:58pm 03/11 (AEDT),+1.57%,+0.78%,-3.01%,-1.78%,-,-3.53%,"$44,715,633,856","12 of 2,408",1 of 97,"11,554,427,353",Communication Services,REA / CAR / TPG,$0.167,$0.17,$0.382,"14 Buy
· 2 Hold
· 1 Sell",Strong Buy,01/10/23,TLS
Value,$5.29,"0.04
(0.76%)","$5.26
-
$5.33","11,033,733","1,355,889","$58,446,829",$5.33,$5.28 - $5.35,$5.30,$5.25,6:58pm 03/11 (AEDT),+3.12%,-3.29%,+8.18%,+10.90%,-,+9.15%,"$9,835,917,429","51 of 2,408",4 of 97,"1,859,341,669",Communication Services,CAR / SPK / SEK,$0.212,$0.18,-$0.41,"6 Buy
· 7 Hold
· 1 Sell",Buy,01/10/23,TPG
Value,$4.62,"0.01
(-0.22%)","$4.59
-
$4.63","610,921","835,374","$2,822,108",$4.65,$4.59 - $4.66,$4.62,$4.63,6:58pm 03/11 (AEDT),+2.44%,+3.82%,-7.97%,-0.43%,-,-2.19%,"$8,455,050,094","61 of 2,408",5 of 97,"1,830,097,423",Communication Services,SEK / TPG / CAR,$0.606,$0.2493,$0.615,"5 Buy
· 6 Hold
· 1 Sell",Buy,01/10/23,SPK
Value,$6.84,"0.04
(0.59%)","$6.46
-
$6.95","379,717","332,170","$2,604,601",$6.85,$6.81 - $6.93,$6.86,$6.80,6:58pm 03/11 (AEDT),+2.40%,-2.15%,-10.24%,-4.47%,-,-6.22%,"$2,967,789,091","138 of 2,408",10 of 97,"433,887,294",Communication Services,NEC / VOC / UWL,$0.045,$0.334,$1.941,"0 Buy
· 4 Hold
· 7 Sell",Strong Sell,01/10/23,CNU
Value,$1.98,"0.07
(-3.42%)","$1.98
-
$2.07","90,363","175,038","$183,114",$2.04,$1.98 - $2.05,$2.025,$2.05,6:58pm 03/11 (AEDT),-3.41%,-9.59%,+48.87%,+46.67%,-,+44.91%,"$920,620,644","311 of 2,408",14 of 97,"464,959,921",Communication Services,ABB / NWS / OML,-$0.045,$0.00,$0.67,"4 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,TUA
Value,$3.58,"0.34
(-8.67%)","$3.58
-
$3.60","1,858,790","687,914","$6,700,499",$3.58,$3.51 - $3.69,$3.605,$3.92,6:58pm 03/11 (AEDT),-9.14%,-12.25%,+37.16%,+42.06%,-,+40.31%,"$856,369,509","322 of 2,408",15 of 97,"239,209,360",Communication Services,TUA / OML / OPC,$0.091,$0.00,-$0.444,"4 Buy
· 5 Hold
· 0 Sell",Buy,01/10/23,ABB
Value,$0.03,"0.001
(-3.23%)","$0.031
-
$0.037",700,"8,811",$21,$0.03,$0.03 - $0.03,$0.03,$0.031,6:58pm 03/11 (AEDT),-14.29%,-21.05%,-50.00%,-57.75%,-,-59.50%,"$407,175,257","475 of 2,408",22 of 97,"13,572,508,577",Communication Services,SWM / SKT / HT1,-$0.034,$0.00,$0.025,,,,HTA
Value,$0.64,"0.005
(0.79%)","$0.64
-
$0.65","167,114","309,479","$106,242",$0.64,$0.6175 - $0.645,$0.6355,$0.635,6:58pm 03/11 (AEDT),+7.56%,-4.48%,-11.72%,-14.09%,-,-15.85%,"$314,351,706","550 of 2,408",25 of 97,"491,174,540",Communication Services,HT1 / IGL / SKT,-$0.129,$0.00,$0.084,"8 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,SLC
Value,$0.20,"0.01
(5.26%)","$0.19
-
$0.20","14,073","34,196","$2,746",$0.19,$0.19 - $0.20,$0.195,$0.19,6:58pm 03/11 (AEDT),-4.76%,-9.09%,-40.30%,-44.44%,-,-46.20%,"$41,641,787","1,248 of 2,408",48 of 97,"208,208,937",Communication Services,UNL / ICI / ICU,-$0.031,$0.00,$0.032,,,,SWP
Value,$0.043,"0.006
(-12.25%)","$0.04
-
$0.05","5,658,644","132,578","$246,508",$0.045,$0.043 - $0.045,$0.0435,$0.049,6:58pm 03/11 (AEDT),-12.24%,-12.24%,-57.00%,-59.05%,-,-60.80%,"$32,840,889","1,338 of 2,408",54 of 97,"763,741,605",Communication Services,IOU / PPL / RMY,-$0.003,$0.00,$0.033,,,,FSG
Value,$12.36,"0.30
(2.49%)","$12.32
-
$12.41","4,393,717","5,209,518","$54,201,487",$12.23,$12.20 - $12.40,$12.335,$12.06,6:58pm 03/11 (AEDT),+4.66%,-2.45%,-4.78%,-7.76%,-9.02%,-9.52%,"$38,170,857,138","15 of 2,408",1 of 197,"3,088,257,050",Industrials,SYD / BXB / CPU,$0.021,$0.58,$1.075,"9 Buy
· 7 Hold
· 2 Sell",Buy,01/10/23,TCL
Value,$7.11,"0.10
(1.43%)","$7.03
-
$7.18","577,985","478,754","$4,108,958",$7.11,$7.08 - $7.15,$7.11,$7.01,6:58pm 03/11 (AEDT),+3.34%,-2.07%,-3.79%,+3.19%,+1.93%,+1.44%,"$10,469,838,584","48 of 2,408",7 of 197,"1,472,551,137",Industrials,SVW / REH / QAN,$0.029,$0.0372,$5.688,"2 Buy
· 7 Hold
· 7 Sell",Sell,01/10/23,AIA
Value,$5.18,"0.10
(1.97%)","$5.18
-
$5.19","8,557,318","10,408,004","$44,356,215",$5.16,$5.16 - $5.21,$5.185,$5.08,8:21pm 03/11 (AEDT),+8.14%,+1.57%,-13.81%,-12.94%,-14.20%,-14.70%,"$8,932,675,242","54 of 2,408",8 of 197,"1,724,454,680",Industrials,WOR / ALX / IFT,$0.93,$0.00,-$0.395,"15 Buy
· 3 Hold
· 1 Sell",Strong Buy,01/10/23,QAN
Value,$5.64,"0.24
(4.44%)","$5.49
-
$5.80","2,465,904","2,171,953","$13,822,436",$5.48,$5.45 - $5.67,$5.605,$5.40,6:58pm 03/11 (AEDT),+4.25%,+1.62%,-14.67%,-13.89%,-15.15%,-15.65%,"$8,182,702,107","62 of 2,408",10 of 197,"1,450,833,707",Industrials,IFT / WOR / QAN,$0.227,$0.40,$2.97,"5 Buy
· 6 Hold
· 1 Sell",Buy,01/10/23,ALX
Value,$3.54,"0.09
(2.61%)","$3.52
-
$3.56","3,728,592","5,294,734","$13,161,616",$3.50,$3.47 - $3.54,$3.53,$3.45,6:58pm 03/11 (AEDT),+3.81%,+1.43%,-5.09%,-3.01%,-4.28%,-4.77%,"$6,516,092,096","76 of 2,408",13 of 197,"1,840,703,982",Industrials,CIM / CWY / ALQ,$0.176,$0.15,$2.245,"8 Buy
· 8 Hold
· 2 Sell",Buy,01/10/23,AZJ
Value,$2.90,"0.12
(4.32%)","$2.89
-
$2.94","5,153,651","2,900,798","$14,913,841",$2.83,$2.81 - $2.92,$2.895,$2.78,6:58pm 03/11 (AEDT),+7.81%,+2.11%,+3.20%,+7.41%,+6.15%,+5.65%,"$5,123,464,835","95 of 2,408",16 of 197,"1,766,712,012",Industrials,ALQ / CWY / AZJ,$0.093,$0.081,$1.207,"8 Buy
· 9 Hold
· 0 Sell",Buy,01/10/23,QUB
Value,$0.62,"0.005
(0.81%)","$0.62
-
$0.63","1,145,554","533,840","$710,166",$0.62,$0.615 - $0.63,$0.62,$0.615,6:58pm 03/11 (AEDT),+3.33%,-8.82%,-10.14%,-16.22%,-17.48%,-17.97%,"$2,088,447,875","176 of 2,408",22 of 197,"3,368,464,315",Industrials,BIN / APM / VNT,-$0.197,$0.055,$0.457,"1 Buy
· 6 Hold
· 5 Sell",Sell,01/10/23,AIZ
Value,$6.27,"0.09
(1.46%)","$6.25
-
$6.32","269,219","411,016","$1,689,070",$6.25,$6.18 - $6.32,$6.275,$6.18,6:58pm 03/11 (AEDT),+1.95%,+10.78%,+10.51%,+31.56%,+30.30%,+29.81%,"$1,688,878,052","217 of 2,408",26 of 197,"269,358,541",Industrials,IPH / JLG / SLK,$0.09,$0.17,-$0.244,"10 Buy
· 6 Hold
· 0 Sell",Buy,01/10/23,KLS
